ID,taxa,tissue_type,species,site,site_type,sample_type,year,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich
N15-NCACH-013,bird,rbc,cach,19,native,control,2015,5.22,15.92,-24.73,50.35,117,120,0
N15-NCACH-017,bird,whole blood,cach,15,native,enriched,2015,6.53,14.32,-24.38,47.87,170,134,36
N15-NCACH-020,bird,rbc,cach,1,native,enriched,2015,6.05,15.95,-24.40,50.03,148,130,18
N15-NCACH-024,bird,rbc,cach,19,native,control,2015,5.29,15.02,-24.72,48.01,120,120,0
N15-NCACH-025,bird,rbc,cach,2,native,control,2015,5.14,15.64,-24.54,49.76,116,124,0
N15-NCACH-026,bird,rbc,cach,22,native,control,2015,4.26,15.01,-24.36,47.86,119,127,0
E15-NCACH-116,bird,rbc,cach,5,nonnative,enriched,2015,5.62,15.65,-23.41,50.33,157,139,18
E15-NCACH-117,bird,rbc,cach,5,nonnative,enriched,2015,5.55,15.55,-23.79,50.26,157,139,18
E15-NCACH-119,bird,whole blood,cach,4,nonnative,enriched,2015,4.88,14.86,-24.35,49.56,147,122,25
E15-NCACH-120,bird,rbc,cach,25,nonnative,enriched,2015,5.95,15.48,-24.48,49.60,161,143,18
E15-NCACH-121,bird,rbc,cach,11,nonnative,enriched,2015,6.48,15.83,-23.80,50.93,152,134,18
E15-NCACH-122,bird,rbc,cach,7,nonnative,enriched,2015,6.11,15.83,-24.07,50.73,168,135,33
E15-NCACH-123,bird,rbc,cach,6,nonnative,control,2015,5.38,15.69,-25.11,50.31,117,125,0
E15-NCACH-124,bird,rbc,cach,5,nonnative,control,2015,5.06,15.70,-24.64,50.42,138,139,0
E15-NCACH-125,bird,rbc,cach,4,nonnative,enriched,2015,4.85,15.82,-24.27,50.74,147,122,25
E15-NCACH-126,bird,rbc,cach,8,nonnative,enriched,2015,5.58,15.86,-24.40,51.35,176,138,38
E15-NCACH-127,bird,rbc,cach,4,nonnative,enriched,2015,5.44,15.50,-24.00,49.66,147,122,25
E15-NCACH-128,bird,rbc,cach,6,nonnative,control,2015,5.44,15.56,-26.68,49.84,123,125,0
E16-NCACH-001,bird,rbc,cach,13,nonnative,enriched,2016,5.17,15.59,-23.94,50.57,146,125,21
E16-NCACH-002,bird,rbc,cach,13,nonnative,enriched,2016,3.46,14.94,-25.61,48.22,193,125,68
E16-NCACH-004,bird,rbc,cach,23,nonnative,enriched,2016,5.07,14.21,-25.27,48.45,154,127,27
E16-NCACH-005,bird,rbc,cach,23,nonnative,enriched,2016,6.00,14.29,-24.42,48.09,143,127,16
E16-NCACH-006,bird,rbc,cach,9,nonnative,enriched,2016,5.38,15.24,-24.70,49.42,189,131,58
E16-NCACH-007,bird,rbc,cach,9,nonnative,enriched,2016,4.24,15.32,-24.26,49.89,159,131,28
E16-NCACH-008,bird,rbc,cach,23,nonnative,enriched,2016,4.93,15.18,-24.83,49.40,154,127,27
E16-NCACH-009,bird,rbc,cach,9,nonnative,enriched,2016,5.39,15.04,-24.13,49.00,148,131,17
E16-NCACH-010,bird,rbc,cach,18,nonnative,enriched,2016,6.50,15.20,-24.16,49.49,145,129,16
E16-NCACH-012,bird,rbc,cach,13,nonnative,enriched,2016,5.36,13.56,-24.74,46.72,181,125,56
N16-NCACH-005,bird,rbc,cach,14,native,enriched,2016,5.40,14.90,-24.21,48.46,153,139,14
